index,ID,FILE,AUTHOR,TECHNIQUE,FORM,TYPE,SCHOOL,TIMELINE
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
19762,19763,19763.jpg,JACOPO DI CIONE,Egg tempera on wood,painting,religious,Italian,1351-1400
3005,3006,3006.jpg,"BARTOLINI, Lorenzo",Marble,painting,mythological,Italian,1801-1850
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
14090,14091,14091.jpg,"GADDI, Taddeo",Poplar,painting,religious,Italian,1301-1350
771,772,772.jpg,"ANGELICO, Fra",Tempera and gold on panel,painting,religious,Italian,1401-1450
17498,17499,17499.jpg,"GRASSI, Giovannino de'",Manuscript ,graphics,study,Italian,1351-1400
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
24030,24031,24031.jpg,-,Egg tempera on wood,painting,religious,Italian,1251-1300
29116,29117,29117.jpg,PACINO DI BONAGUIDA,Tempera on panel,painting,religious,Italian,1301-1350
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
18281,18282,18282.jpg,GUIDO DA SIENA,Tempera on wood,painting,religious,Italian,1251-1300
40308,40309,40309.jpg,"UNKNOWN MASTER, Italian",Marble,painting,other,Italian,1301-1350
15988,15989,15989.jpg,-,Tempera and gold on wood,painting,religious,Italian,1351-1400
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
23150,23151,23151.jpg,"MANTEGNA, Andrea",Walnut oil on plaster,painting,historical,Italian,1451-1500
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
12964,12965,12965.jpg,-,Etching,graphics,study,Italian,1651-1700
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
23329,23330,23330.jpg,"MARIESCHI, Michele",Oil on canvas transferred from wood,painting,landscape,Italian,1701-1750
5179,5180,5180.jpg,"BOTTICELLI, Sandro",Tempera on canvas,painting,mythological,Italian,1451-1500
24805,24806,24806.jpg,"MEDIEVAL SCULPTOR, Italian",Marble,painting,religious,Italian,1251-1300
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
2335,2336,2336.jpg,"ARCIMBOLDO, Giuseppe",Pen,graphics,study,Italian,1551-1600
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
39149,39150,39150.jpg,UGOLINO DI NERIO,Egg tempera on wood,painting,religious,Italian,1301-1350
37892,37893,37893.jpg,"TIEPOLO, Giovanni Domenico",Detached fresco,painting,genre,Italian,1751-1800
15941,15942,15942.jpg,-,Painted wood,painting,religious,Italian,1301-1350
7812,7813,7813.jpg,"CAVALLINI, Pietro",Fresco,painting,religious,Italian,1251-1300
23147,23148,23148.jpg,"MANTEGNA, Andrea",Walnut oil on plaster,painting,historical,Italian,1451-1500
28370,28371,28371.jpg,-,Photo,painting,interior,Italian,1701-1750
35445,35446,35446.jpg,-,Wood,painting,other,Italian,1401-1450
9282,9283,9283.jpg,-,Fresco,painting,mythological,Italian,1451-1500
33889,33890,33890.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,1151-1200
17857,17858,17858.jpg,-,Manuscript ,graphics,study,Italian,1551-1600
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
41753,41754,41754.jpg,"VERROCCHIO, Andrea del",Gilded bronze,painting,portrait,Italian,1451-1500
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
17498,17499,17499.jpg,"GRASSI, Giovannino de'",Manuscript ,graphics,study,Italian,1351-1400
23662,23663,23663.jpg,"MASSARI, Giorgio",Photo,painting,interior,Italian,1701-1750
41754,41755,41755.jpg,"VERROCCHIO, Andrea del",Gilded bronze,painting,portrait,Italian,1451-1500
6893,6894,6894.jpg,CANALETTO,Pen and ink on paper,graphics,landscape,Italian,1701-1750
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
2561,2562,2562.jpg,-,Manuscript ,painting,religious,Italian,1451-1500
14052,14053,14053.jpg,"GADDI, Agnolo",Tempera on wood,painting,religious,Italian,1351-1400
17498,17499,17499.jpg,"GRASSI, Giovannino de'",Manuscript ,graphics,study,Italian,1351-1400
21735,21736,21736.jpg,"LIPPI, Fra Filippo",Tempera and gold on wood,painting,religious,Italian,1401-1450
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
15900,15901,15901.jpg,-,Panel,painting,religious,Italian,1351-1400
15988,15989,15989.jpg,-,Tempera and gold on wood,painting,religious,Italian,1351-1400
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
21260,21261,21261.jpg,LEONARDO da Vinci,Manuscript,graphics,study,Italian,1451-1500
40844,40845,40845.jpg,"VASARI, Giorgio",Fresco,painting,interior,Italian,1551-1600
40085,40086,40086.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
23370,23371,23371.jpg,MARIOTTO DI NARDO,Tempera on poplar panel,painting,religious,Italian,1401-1450
23214,23215,23215.jpg,"MANTEGNA, Andrea",Tempera on canvas,painting,historical,Italian,1451-1500
13728,13729,13729.jpg,-,Poplar,painting,religious,Italian,1351-1400
4826,4827,4827.jpg,"BORTOLONI, Mattia",Photo,painting,other,Italian,1701-1750
28640,28641,28641.jpg,NICCOLÒ DI PIETRO GERINI,Tempera on wood,painting,religious,Italian,1351-1400
5187,5188,5188.jpg,"BOTTICELLI, Sandro",Tempera on panel,painting,historical,Italian,1451-1500
25951,25952,25952.jpg,MICHELANGELO Buonarroti,Red chalk,graphics,study,Italian,1501-1550
13006,13007,13007.jpg,"FASOLO, Giovanni Antonio",Fresco,painting,other,Italian,1551-1600
21298,21299,21299.jpg,-,Gilded bronze,painting,religious,Italian,1551-1600
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
40139,40140,40140.jpg,"UNKNOWN MASTER, Italian",Panel,painting,religious,Italian,1351-1400
40085,40086,40086.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
15963,15964,15964.jpg,GIOVANNI DA UDINE,Stucco,painting,other,Italian,1501-1550
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
23553,23554,23554.jpg,MASACCIO,Poplar,painting,religious,Italian,1401-1450
18273,18274,18274.jpg,GUIDO DA SIENA,Tempera on wood,painting,religious,Italian,1251-1300
37891,37892,37892.jpg,"TIEPOLO, Giovanni Domenico",Detached fresco,painting,genre,Italian,1751-1800
15963,15964,15964.jpg,GIOVANNI DA UDINE,Stucco,painting,other,Italian,1501-1550
21251,21252,21252.jpg,LEONARDO da Vinci,Pen and ink on paper,graphics,study,Italian,1451-1500
25961,25962,25962.jpg,MICHELANGELO Buonarroti,Black chalk,graphics,study,Italian,1501-1550
11671,11672,11672.jpg,DUCCIO di Buoninsegna,Tempera on wood,painting,religious,Italian,1301-1350
22192,22193,22193.jpg,"LORENZETTI, Ambrogio",Tempera on wood,painting,religious,Italian,1301-1350
27790,27791,27791.jpg,-,Watercolour,graphics,still-life,Italian,1651-1700
37892,37893,37893.jpg,"TIEPOLO, Giovanni Domenico",Detached fresco,painting,genre,Italian,1751-1800
6893,6894,6894.jpg,CANALETTO,Pen and ink on paper,graphics,landscape,Italian,1701-1750
40308,40309,40309.jpg,"UNKNOWN MASTER, Italian",Marble,painting,other,Italian,1301-1350
23311,23312,23312.jpg,MARGARITO D'AREZZO,Egg tempera on wood,painting,religious,Italian,1251-1300
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
21750,21751,21751.jpg,"LIPPI, Fra Filippo",Pen and ink,graphics,study,Italian,1401-1450
17498,17499,17499.jpg,"GRASSI, Giovannino de'",Manuscript ,graphics,study,Italian,1351-1400
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
30828,30829,30829.jpg,-,Oil on canvas,painting,religious,Italian,1501-1550
15963,15964,15964.jpg,GIOVANNI DA UDINE,Stucco,painting,other,Italian,1501-1550
10022,10023,10023.jpg,-,Wood,painting,mythological,Italian,1701-1750
15941,15942,15942.jpg,-,Painted wood,painting,religious,Italian,1301-1350
882,883,883.jpg,"ANGELICO, Fra",Tempera on wood,painting,religious,Italian,1401-1450
38614,38615,38615.jpg,-,Oil and tempera on panel,painting,religious,Italian,1451-1500
23152,23153,23153.jpg,"MANTEGNA, Andrea",Walnut oil on plaster,painting,historical,Italian,1451-1500
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
35062,35063,35063.jpg,SANO di Pietro,Poplar panel,painting,religious,Italian,1401-1450
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
30288,30289,30289.jpg,-,Poplar panel,painting,religious,Italian,1401-1450
15963,15964,15964.jpg,GIOVANNI DA UDINE,Stucco,painting,other,Italian,1501-1550
28863,28864,28864.jpg,ORCAGNA,Marble,painting,religious,Italian,1351-1400
9977,9978,9978.jpg,-,Oil on poplar panel,painting,religious,Italian,1601-1650
24076,24077,24077.jpg,-,Egg tempera on wood,painting,religious,Italian,1251-1300
41911,41912,41912.jpg,-,Drawing,graphics,study,Italian,1501-1550
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
40308,40309,40309.jpg,"UNKNOWN MASTER, Italian",Marble,painting,other,Italian,1301-1350
30288,30289,30289.jpg,-,Poplar panel,painting,religious,Italian,1401-1450
756,757,757.jpg,"ANGELICO, Fra",Tempera and gold on panel,painting,religious,Italian,1401-1450
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
35063,35064,35064.jpg,SANO di Pietro,Tempera and gold on panel,painting,religious,Italian,1401-1450
37878,37879,37879.jpg,"TIEPOLO, Giovanni Domenico",Detached fresco,painting,genre,Italian,1751-1800
17847,17848,17848.jpg,-,Panel,painting,religious,Italian,1251-1300
16027,16028,16028.jpg,GIOVANNI DI PAOLO,Painted wood,painting,mythological,Italian,1451-1500
40084,40085,40085.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
12988,12989,12989.jpg,-,Photo,painting,interior,Italian,1601-1650
12988,12989,12989.jpg,-,Photo,painting,interior,Italian,1601-1650
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
40619,40620,40620.jpg,"URBANI, Andrea",Fresco,painting,other,Italian,1751-1800
11678,11679,11679.jpg,DUCCIO di Buoninsegna,Tempera on wood,painting,religious,Italian,1301-1350
23311,23312,23312.jpg,MARGARITO D'AREZZO,Egg tempera on wood,painting,religious,Italian,1251-1300
21205,21206,21206.jpg,LEONARDO da Vinci,Pen and ink on paper,graphics,study,Italian,1451-1500
4826,4827,4827.jpg,"BORTOLONI, Mattia",Photo,painting,other,Italian,1701-1750
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
912,913,913.jpg,"ANGELICO, Fra",Tempera and gold on panel,painting,religious,Italian,1401-1450
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
37223,37224,37224.jpg,-,Tempera on poplar panel,painting,religious,Italian,1351-1400
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
15941,15942,15942.jpg,-,Painted wood,painting,religious,Italian,1301-1350
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
5181,5182,5182.jpg,"BOTTICELLI, Sandro",Tempera on canvas,painting,mythological,Italian,1451-1500
21298,21299,21299.jpg,-,Gilded bronze,painting,religious,Italian,1551-1600
14092,14093,14093.jpg,"GADDI, Taddeo",Poplar panel,painting,religious,Italian,1301-1350
40118,40119,40119.jpg,"UNKNOWN MASTER, Italian",Tempera on panel,painting,religious,Italian,1301-1350
3023,3024,3024.jpg,BARTOLO DI FREDI,Tempera and gold on wood,painting,religious,Italian,1351-1400
22247,22248,22248.jpg,"LORENZETTI, Pietro",Tempera on wood,painting,religious,Italian,1301-1350
18673,18674,18674.jpg,"HAYEZ, Francesco",Detached fresco,painting,mythological,Italian,1801-1850
36636,36637,36637.jpg,-,Poplar panel,painting,religious,Italian,1401-1450
23662,23663,23663.jpg,"MASSARI, Giorgio",Photo,painting,interior,Italian,1701-1750
36133,36134,36134.jpg,SIMONE MARTINI,Fresco,painting,portrait,Italian,1301-1350
23304,23305,23305.jpg,MARGARITO D'AREZZO,Tempera on panel,painting,religious,Italian,1251-1300
8768,8769,8769.jpg,-,Oil on poplar panel,painting,still-life,Italian,1601-1650
25958,25959,25959.jpg,MICHELANGELO Buonarroti,Red chalk,graphics,study,Italian,1501-1550
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
41753,41754,41754.jpg,"VERROCCHIO, Andrea del",Gilded bronze,painting,portrait,Italian,1451-1500
17857,17858,17858.jpg,-,Manuscript ,graphics,study,Italian,1551-1600
14724,14725,14725.jpg,-,Manuscript,painting,religious,Italian,1451-1500
40086,40087,40087.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
16027,16028,16028.jpg,GIOVANNI DI PAOLO,Painted wood,painting,mythological,Italian,1451-1500
32065,32066,32066.jpg,RAFFAELLO Sanzio,Pen and ink,graphics,study,Italian,1501-1550
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
35061,35062,35062.jpg,SANO di Pietro,Tempera on panel,painting,religious,Italian,1401-1450
40084,40085,40085.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
3081,3082,3082.jpg,"BARTOLOMEO, Fra",Black chalk,graphics,mythological,Italian,1501-1550
22599,22600,22600.jpg,-,Pastel on paper,painting,portrait,Italian,1701-1750
17498,17499,17499.jpg,"GRASSI, Giovannino de'",Manuscript ,graphics,study,Italian,1351-1400
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
15988,15989,15989.jpg,-,Tempera and gold on wood,painting,religious,Italian,1351-1400
40086,40087,40087.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
15732,15733,15733.jpg,GIOTTO di Bondone,Fresco,painting,other,Italian,1301-1350
12988,12989,12989.jpg,-,Photo,painting,interior,Italian,1601-1650
19775,19776,19776.jpg,JACOPO DI CIONE,Egg tempera on wood,painting,religious,Italian,1351-1400
26010,26011,26011.jpg,MICHELANGELO Buonarroti,Red chalk,graphics,study,Italian,1501-1550
16029,16030,16030.jpg,GIOVANNI DI PAOLO,Manuscript ,painting,other,Italian,1451-1500
23151,23152,23152.jpg,"MANTEGNA, Andrea",Walnut oil on plaster,painting,historical,Italian,1451-1500
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
35697,35698,35698.jpg,-,Wood,painting,religious,Italian,1301-1350
21791,21792,21792.jpg,"LIPPI, Fra Filippo",Egg tempera on wood,painting,religious,Italian,1401-1450
19771,19772,19772.jpg,JACOPO DI CIONE,Egg tempera on wood,painting,religious,Italian,1351-1400
26015,26016,26016.jpg,MICHELANGELO Buonarroti,Black chalk,graphics,study,Italian,1501-1550
4826,4827,4827.jpg,"BORTOLONI, Mattia",Photo,painting,other,Italian,1701-1750
6448,6449,6449.jpg,-,Tempera on panel,painting,religious,Italian,1351-1400
36602,36603,36603.jpg,SPINELLO ARETINO,Fresco,painting,religious,Italian,1351-1400
14081,14082,14082.jpg,"GADDI, Taddeo",Tempera on panel,painting,religious,Italian,1301-1350
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
40127,40128,40128.jpg,"UNKNOWN MASTER, Italian",Tempera and gold on wood,painting,religious,Italian,1301-1350
21260,21261,21261.jpg,LEONARDO da Vinci,Manuscript,graphics,study,Italian,1451-1500
21794,21795,21795.jpg,"LIPPI, Fra Filippo",Tempera and gold on wood,painting,religious,Italian,1401-1450
40084,40085,40085.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
2381,2382,2382.jpg,"ARCIMBOLDO, Giuseppe",Pencil,graphics,portrait,Italian,1551-1600
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
40184,40185,40185.jpg,"UNKNOWN MASTER, Italian",Poplar panel,painting,mythological,Italian,1451-1500
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
40084,40085,40085.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
16027,16028,16028.jpg,GIOVANNI DI PAOLO,Painted wood,painting,mythological,Italian,1451-1500
32085,32086,32086.jpg,RAFFAELLO Sanzio,Pen and brown ink,graphics,study,Italian,1501-1550
35062,35063,35063.jpg,SANO di Pietro,Poplar panel,painting,religious,Italian,1401-1450
37883,37884,37884.jpg,"TIEPOLO, Giovanni Domenico",Detached fresco,painting,genre,Italian,1751-1800
930,931,931.jpg,"ANGELICO, Fra",Poplar,painting,religious,Italian,1401-1450
22161,22162,22162.jpg,"LORENZETTI, Ambrogio",Fresco,painting,mythological,Italian,1301-1350
30824,30825,30825.jpg,-,Red chalk,graphics,study,Italian,1501-1550
40308,40309,40309.jpg,"UNKNOWN MASTER, Italian",Marble,painting,other,Italian,1301-1350
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
14091,14092,14092.jpg,"GADDI, Taddeo",Poplar,painting,religious,Italian,1301-1350
40084,40085,40085.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
7300,7301,7301.jpg,"CARNEVALE, Fra",Tempera and oil on wood,painting,religious,Italian,1451-1500
24072,24073,24073.jpg,-,Egg tempera on wood,painting,religious,Italian,1251-1300
17498,17499,17499.jpg,"GRASSI, Giovannino de'",Manuscript ,graphics,study,Italian,1351-1400
919,920,920.jpg,"ANGELICO, Fra",Tempera and gold on panel,painting,religious,Italian,1401-1450
2301,2302,2302.jpg,"ARCIMBOLDO, Giuseppe",Watercolour,graphics,study,Italian,1551-1600
23553,23554,23554.jpg,MASACCIO,Poplar,painting,religious,Italian,1401-1450
17498,17499,17499.jpg,"GRASSI, Giovannino de'",Manuscript ,graphics,study,Italian,1351-1400
24395,24396,24396.jpg,-,Poplar panel,painting,religious,Italian,1351-1400
40084,40085,40085.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
14510,14511,14511.jpg,-,Bronze,painting,other,Italian,1851-1900
15450,15451,15451.jpg,GIOTTO di Bondone,Fresco,painting,religious,Italian,1301-1350
15963,15964,15964.jpg,GIOVANNI DA UDINE,Stucco,painting,other,Italian,1501-1550
21735,21736,21736.jpg,"LIPPI, Fra Filippo",Tempera and gold on wood,painting,religious,Italian,1401-1450
23993,23994,23994.jpg,MASTER of St Francis,Egg tempera on wood,painting,religious,Italian,1251-1300
17498,17499,17499.jpg,"GRASSI, Giovannino de'",Manuscript ,graphics,study,Italian,1351-1400
43383,43384,43384.jpg,-,Oil on paper,painting,mythological,Italian,1751-1800
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
7514,7515,7515.jpg,"CARRACCI, Annibale",Pen and ink,graphics,study,Italian,1551-1600
38154,38155,38155.jpg,TINTORETTO,Marble,painting,other,Italian,1551-1600
