ID,FILE,AUTHOR,TECHNIQUE,FORM,TYPE,SCHOOL,TIMELINE
95,95.jpg,"AELST, Willem van",-,graphics,still-life,Dutch,1651-1700
96,96.jpg,-,Oil on panel,painting,still-life,Flemish,1651-1700
98,98.jpg,"AERTSEN, Pieter",Oil on wood,painting,religious,Netherlandish,1501-1550
99,99.jpg,"AERTSEN, Pieter",Oil on wood,painting,religious,Flemish,1501-1550
100,100.jpg,"AERTSEN, Pieter",Oil on wood,painting,still-life,Netherlandish,1501-1550
101,101.jpg,"AERTSEN, Pieter",Oil on wood,painting,genre,Netherlandish,1501-1550
102,102.jpg,"AERTSEN, Pieter",Oil on canvas,painting,genre,Netherlandish,1501-1550
103,103.jpg,"AERTSEN, Pieter",Oil on panel,painting,genre,Flemish,1501-1550
104,104.jpg,"AERTSEN, Pieter",Oil on wood,painting,genre,Netherlandish,1501-1550
105,105.jpg,"AERTSEN, Pieter",Oil on wood,painting,genre,Netherlandish,1501-1550
106,106.jpg,"AERTSEN, Pieter",Oil on oak,painting,genre,Netherlandish,1501-1550
107,107.jpg,"AERTSEN, Pieter",-,painting,genre,Netherlandish,1501-1550
108,108.jpg,"AERTSEN, Pieter",Oil on oak,painting,still-life,Netherlandish,1501-1550
109,109.jpg,"AERTSEN, Pieter",Oil on wood,painting,still-life,Netherlandish,1501-1550
110,110.jpg,"AERTSEN, Pieter",Oil on panel,painting,genre,Netherlandish,1501-1550
111,111.jpg,"AERTSEN, Pieter",Oil on wood,painting,genre,Netherlandish,1501-1550
112,112.jpg,"AERTSEN, Pieter",Oil on wood,painting,still-life,Netherlandish,1501-1550
113,113.jpg,"AERTSEN, Pieter",Oil on panel,painting,religious,Flemish,1501-1550
114,114.jpg,"AERTSEN, Pieter",Oil on panel,painting,religious,Flemish,1501-1550
115,115.jpg,"AERTSEN, Pieter",Oil on panel,painting,religious,Flemish,1501-1550
116,116.jpg,"AERTSEN, Pieter",Oil on panel,painting,genre,Netherlandish,1501-1550
117,117.jpg,-,Oil on canvas,painting,other,Swiss,1801-1850
118,118.jpg,-,Oil on panel,painting,other,Swiss,1801-1850
119,119.jpg,-,-,painting,other,Swiss,1801-1850
120,120.jpg,-,Oil on canvas,painting,genre,Swiss,1801-1850
121,121.jpg,-,Oil on canvas,painting,other,Swiss,1801-1850
154,154.jpg,-,Oil on canvas,painting,landscape,Russian,1851-1900
155,155.jpg,-,-,graphics,landscape,Russian,1851-1900
156,156.jpg,-,-,graphics,landscape,Russian,1851-1900
157,157.jpg,-,Oil on canvas,painting,landscape,Russian,1851-1900
158,158.jpg,-,Oil on canvas,painting,portrait,Flemish,1701-1750
159,159.jpg,-,Oil on canvas,painting,genre,Flemish,1701-1750
160,160.jpg,-,Oil on canvas,painting,genre,Flemish,1701-1750
161,161.jpg,-,Oil on canvas,painting,genre,Flemish,1701-1750
162,162.jpg,-,-,painting,religious,Greek,1401-1450
163,163.jpg,-,Tempera on panel,painting,religious,Greek,1401-1450
164,164.jpg,-,Oil on panel,painting,religious,Italian,1451-1500
165,165.jpg,"ALBANI, Francesco",Oil on canvas,painting,mythological,Italian,1601-1650
166,166.jpg,"ALBANI, Francesco",Oil on canvas,painting,mythological,Italian,1601-1650
167,167.jpg,"ALBANI, Francesco",Oil on canvas,painting,mythological,Italian,1601-1650
168,168.jpg,"ALBANI, Francesco",Oil on canvas,painting,mythological,Italian,1601-1650
169,169.jpg,"ALBANI, Francesco",Oil on canvas,painting,mythological,Italian,1601-1650
170,170.jpg,"ALBANI, Francesco",Fresco,painting,mythological,Italian,1601-1650
171,171.jpg,"ALBANI, Francesco",Fresco,painting,mythological,Italian,1601-1650
172,172.jpg,"ALBANI, Francesco",Oil on canvas,painting,mythological,Italian,1601-1650
173,173.jpg,"ALBANI, Francesco",Oil on copper,painting,religious,Italian,1601-1650
174,174.jpg,"ALBANI, Francesco",-,painting,mythological,Italian,1601-1650
175,175.jpg,"ALBANI, Francesco",Oil on copper,painting,mythological,Italian,1601-1650
176,176.jpg,"ALBANI, Francesco",Oil on copper,painting,religious,Italian,1601-1650
177,177.jpg,"ALBANI, Francesco",Oil on copper,painting,religious,Italian,1601-1650
178,178.jpg,"ALBANI, Francesco",Oil on canvas,painting,religious,Italian,1601-1650
179,179.jpg,"ALBANI, Francesco",Oil on canvas,painting,mythological,Italian,1601-1650
180,180.jpg,"ALBANI, Francesco",Oil on canvas,painting,mythological,Italian,1601-1650
181,181.jpg,"ALBANI, Francesco",Oil on canvas,painting,mythological,Italian,1601-1650
182,182.jpg,"ALBANI, Francesco",Oil on canvas,painting,mythological,Italian,1601-1650
183,183.jpg,"ALBANI, Francesco",Fresco,painting,mythological,Italian,1601-1650
184,184.jpg,"ALBANI, Francesco",Fresco,painting,mythological,Italian,1601-1650
185,185.jpg,"ALBANI, Francesco",Fresco,painting,mythological,Italian,1601-1650
186,186.jpg,"ALBANI, Francesco",Fresco,painting,mythological,Italian,1601-1650
187,187.jpg,"ALBANI, Francesco",Fresco,painting,mythological,Italian,1601-1650
188,188.jpg,"ALBANI, Francesco",Fresco,painting,mythological,Italian,1601-1650
189,189.jpg,"ALBANI, Francesco",Fresco,painting,mythological,Italian,1601-1650
190,190.jpg,"ALBANI, Francesco",Fresco,painting,mythological,Italian,1601-1650
191,191.jpg,"ALBANI, Francesco",-,graphics,mythological,Italian,1601-1650
192,192.jpg,-,Tempera on panel,painting,religious,Italian,1351-1400
193,193.jpg,-,Tempera on panel,painting,religious,Italian,1351-1400
194,194.jpg,-,Tempera on panel,painting,religious,Italian,1351-1400
195,195.jpg,-,Tempera on panel,painting,religious,Italian,1351-1400
196,196.jpg,-,Fresco,painting,religious,Italian,1401-1450
197,197.jpg,-,Engraving,graphics,mythological,Italian,1551-1600
198,198.jpg,-,Engraving,graphics,religious,Italian,1551-1600
199,199.jpg,-,Engraving,graphics,religious,Italian,1551-1600
200,200.jpg,-,Fresco,painting,religious,Italian,1551-1600
201,201.jpg,-,Fresco,painting,mythological,Italian,1551-1600
220,220.jpg,-,Panel,painting,religious,Italian,1451-1500
221,221.jpg,-,Tempera on panel,painting,religious,Italian,1451-1500
222,222.jpg,-,Panel,painting,religious,Italian,1451-1500
223,223.jpg,-,Oil on wood,painting,religious,Italian,1451-1500
224,224.jpg,-,Oil on wood,painting,religious,Italian,1451-1500
225,225.jpg,-,Oil on wood,painting,religious,Italian,1451-1500
226,226.jpg,-,Oil on wood,painting,religious,Italian,1451-1500
227,227.jpg,-,Oil on panel,painting,religious,Italian,1451-1500
228,228.jpg,-,Oil on canvas,painting,landscape,Italian,1701-1750
229,229.jpg,-,Oil on canvas,painting,landscape,Italian,1701-1750
230,230.jpg,-,Oil on canvas,painting,portrait,Other,1751-1800
231,231.jpg,-,Watercolour,graphics,study,Italian,1551-1600
232,232.jpg,-,Woodcut,graphics,study,Italian,1551-1600
233,233.jpg,-,Woodcut,graphics,study,Italian,1551-1600
234,234.jpg,-,Woodcut,graphics,study,Italian,1551-1600
235,235.jpg,-,Watercolour,graphics,study,Italian,1551-1600
236,236.jpg,-,Woodcut,graphics,study,Italian,1551-1600
237,237.jpg,-,Woodcut,graphics,study,Italian,1551-1600
238,238.jpg,-,Watercolour,graphics,study,Italian,1551-1600
239,239.jpg,-,Oil on canvas,painting,genre,Other,1851-1900
240,240.jpg,-,Oil on canvas,painting,portrait,Spanish,1801-1850
241,241.jpg,-,Oil on canvas,painting,other,Spanish,1801-1850
245,245.jpg,-,Tempera and gold on wood,painting,religious,Italian,1501-1550
246,246.jpg,-,Oil on panel,painting,religious,Italian,1501-1550
247,247.jpg,-,Oil on panel,painting,religious,Italian,1501-1550
248,248.jpg,-,Tempera on panel,painting,religious,Italian,1501-1550
249,249.jpg,-,Tempera on wood,painting,religious,Italian,1501-1550
276,276.jpg,-,Oil on panel,painting,religious,Flemish,1401-1450
284,284.jpg,-,Oil on canvas,painting,landscape,French,1651-1700
285,285.jpg,-,-,painting,landscape,French,1651-1700
286,286.jpg,-,-,painting,landscape,French,1651-1700
287,287.jpg,"ALLORI, Alessandro",Fresco,painting,mythological,Italian,1551-1600
288,288.jpg,"ALLORI, Alessandro",Fresco,painting,mythological,Italian,1551-1600
289,289.jpg,"ALLORI, Alessandro",Fresco,painting,mythological,Italian,1551-1600
290,290.jpg,"ALLORI, Alessandro",Fresco,painting,historical,Italian,1551-1600
291,291.jpg,"ALLORI, Alessandro",Fresco,painting,mythological,Italian,1551-1600
292,292.jpg,"ALLORI, Alessandro",-,graphics,study,Italian,1551-1600
293,293.jpg,"ALLORI, Alessandro",Oil on copper,painting,mythological,Italian,1551-1600
294,294.jpg,"ALLORI, Alessandro",Oil on canvas,painting,religious,Italian,1551-1600
295,295.jpg,"ALLORI, Alessandro",Oil on copper,painting,religious,Italian,1551-1600
296,296.jpg,"ALLORI, Alessandro",Oil on canvas,painting,religious,Italian,1551-1600
297,297.jpg,"ALLORI, Alessandro",Fresco,painting,genre,Italian,1551-1600
298,298.jpg,"ALLORI, Alessandro",Oil on copper,painting,portrait,Italian,1551-1600
299,299.jpg,"ALLORI, Alessandro",Oil on canvas,painting,portrait,Italian,1551-1600
300,300.jpg,"ALLORI, Alessandro",Fresco,painting,portrait,Italian,1551-1600
301,301.jpg,"ALLORI, Alessandro",-,painting,portrait,Italian,1551-1600
302,302.jpg,"ALLORI, Alessandro",Oil on panel,painting,portrait,Italian,1551-1600
303,303.jpg,"ALLORI, Alessandro",Oil on canvas transferred from wood,painting,portrait,Italian,1551-1600
304,304.jpg,"ALLORI, Alessandro",Oil on copper,painting,religious,Italian,1551-1600
305,305.jpg,"ALLORI, Alessandro",Oil on copper,painting,religious,Italian,1551-1600
306,306.jpg,"ALLORI, Alessandro",-,painting,other,Italian,1551-1600
307,307.jpg,"ALLORI, Alessandro",Oil on canvas,painting,mythological,Italian,1551-1600
308,308.jpg,"ALLORI, Alessandro",Fresco,painting,other,Italian,1551-1600
309,309.jpg,"ALLORI, Alessandro",Fresco,painting,other,Italian,1551-1600
310,310.jpg,"ALLORI, Alessandro",Oil on wood,painting,mythological,Italian,1551-1600
311,311.jpg,-,Oil on canvas,painting,religious,Italian,1601-1650
312,312.jpg,-,Oil on canvas,painting,religious,Italian,1601-1650
313,313.jpg,-,Oil on canvas,painting,mythological,Italian,1601-1650
314,314.jpg,-,Oil on canvas,painting,mythological,Italian,1601-1650
315,315.jpg,-,Oil on canvas,painting,mythological,Italian,1601-1650
316,316.jpg,-,Oil on canvas,painting,other,American,1801-1850
317,317.jpg,-,Oil on canvas,painting,mythological,English,1851-1900
318,318.jpg,-,Oil on panel,painting,historical,English,1851-1900
319,319.jpg,-,Oil on panel,painting,genre,English,1851-1900
320,320.jpg,-,Oil on canvas,painting,historical,English,1851-1900
321,321.jpg,-,Watercolour,painting,genre,English,1851-1900
324,324.jpg,-,Oil on copper,painting,landscape,Flemish,1601-1650
325,325.jpg,-,Oil on oak panel,painting,religious,Flemish,1601-1650
326,326.jpg,-,Oil on panel,painting,landscape,Flemish,1601-1650
327,327.jpg,-,Oil on wood,painting,landscape,Flemish,1601-1650
328,328.jpg,-,Oil on oak panel,painting,landscape,Flemish,1601-1650
329,329.jpg,-,-,painting,landscape,Austrian,1801-1850
330,330.jpg,"ALTDORFER, Albrecht",Panel,painting,landscape,German,1501-1550
331,331.jpg,"ALTDORFER, Albrecht",-,painting,landscape,German,1501-1550
332,332.jpg,"ALTDORFER, Albrecht",-,painting,landscape,German,1501-1550
333,333.jpg,"ALTDORFER, Albrecht",Wood,painting,mythological,German,1501-1550
334,334.jpg,"ALTDORFER, Albrecht",-,painting,historical,German,1501-1550
335,335.jpg,"ALTDORFER, Albrecht",-,painting,historical,German,1501-1550
336,336.jpg,"ALTDORFER, Albrecht",-,painting,historical,German,1501-1550
337,337.jpg,"ALTDORFER, Albrecht",Fresco,painting,other,German,1501-1550
338,338.jpg,"ALTDORFER, Albrecht",-,painting,religious,German,1501-1550
339,339.jpg,"ALTDORFER, Albrecht",-,painting,religious,German,1501-1550
340,340.jpg,"ALTDORFER, Albrecht",-,painting,religious,German,1501-1550
341,341.jpg,"ALTDORFER, Albrecht",Oil on panel,painting,religious,German,1501-1550
342,342.jpg,"ALTDORFER, Albrecht",Oil on panel,painting,religious,German,1501-1550
343,343.jpg,"ALTDORFER, Albrecht",-,painting,religious,German,1501-1550
344,344.jpg,"ALTDORFER, Albrecht",Oil on wood,painting,religious,German,1501-1550
345,345.jpg,"ALTDORFER, Albrecht",Wood,painting,religious,German,1501-1550
346,346.jpg,"ALTDORFER, Albrecht",Limewood,painting,religious,German,1501-1550
347,347.jpg,"ALTDORFER, Albrecht",Limewood,painting,religious,German,1501-1550
348,348.jpg,"ALTDORFER, Albrecht",Wood,painting,religious,German,1501-1550
349,349.jpg,"ALTDORFER, Albrecht",Wood,painting,religious,German,1501-1550
350,350.jpg,"ALTDORFER, Albrecht",Wood,painting,religious,German,1501-1550
351,351.jpg,"ALTDORFER, Albrecht",-,painting,religious,German,1501-1550
352,352.jpg,"ALTDORFER, Albrecht",Wood,painting,religious,German,1501-1550
353,353.jpg,"ALTDORFER, Albrecht",-,painting,religious,German,1501-1550
354,354.jpg,"ALTDORFER, Albrecht",-,painting,religious,German,1501-1550
355,355.jpg,"ALTDORFER, Albrecht",Oil on panel,painting,portrait,German,1501-1550
356,356.jpg,"ALTDORFER, Albrecht",Oil on wood,painting,religious,German,1501-1550
357,357.jpg,"ALTDORFER, Albrecht",Oil on wood,painting,religious,German,1501-1550
358,358.jpg,"ALTDORFER, Albrecht",Oil on wood,painting,religious,German,1501-1550
359,359.jpg,"ALTDORFER, Albrecht",Oil on wood,painting,religious,German,1501-1550
360,360.jpg,"ALTDORFER, Albrecht",Oil on wood,painting,religious,German,1501-1550
361,361.jpg,"ALTDORFER, Albrecht",Oil on wood,painting,religious,German,1501-1550
362,362.jpg,"ALTDORFER, Albrecht",Oil on wood,painting,religious,German,1501-1550
363,363.jpg,"ALTDORFER, Albrecht",-,graphics,religious,German,1501-1550
364,364.jpg,"ALTDORFER, Albrecht",Etching,graphics,landscape,German,1501-1550
365,365.jpg,"ALTDORFER, Albrecht",-,graphics,landscape,German,1501-1550
366,366.jpg,"ALTDORFER, Albrecht",Woodcut,graphics,religious,German,1501-1550
368,368.jpg,ALTICHIERO da Zevio,Fresco,painting,other,Italian,1351-1400
369,369.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
370,370.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
371,371.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
373,373.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
374,374.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
375,375.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
376,376.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
377,377.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
378,378.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
379,379.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
380,380.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
381,381.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
382,382.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
383,383.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
384,384.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
385,385.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
386,386.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
387,387.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
388,388.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
389,389.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
390,390.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
391,391.jpg,ALTICHIERO da Zevio,Fresco,painting,religious,Italian,1351-1400
392,392.jpg,-,Oil on wood,painting,portrait,Italian,1551-1600
393,393.jpg,-,Oil on canvas,painting,portrait,Italian,1551-1600
394,394.jpg,-,Oil on canvas,painting,religious,Italian,1651-1700
395,395.jpg,-,Oil on canvas,painting,mythological,Austrian,1701-1750
396,396.jpg,-,Oil on canvas,painting,religious,Austrian,1651-1700
397,397.jpg,-,Oil on canvas,painting,religious,Austrian,1651-1700
407,407.jpg,-,Wood,painting,portrait,German,1501-1550
408,408.jpg,-,Oil on panel,painting,portrait,German,1501-1550
409,409.jpg,-,Oil on wood,painting,portrait,German,1501-1550
410,410.jpg,-,Oil on panel,painting,portrait,German,1501-1550
411,411.jpg,-,Wood,painting,portrait,German,1501-1550
412,412.jpg,-,Oil on wood,painting,portrait,German,1501-1550
413,413.jpg,-,Oil on wood,painting,portrait,German,1501-1550
417,417.jpg,"AMERLING, Friedrich von",Oil on canvas,painting,portrait,Austrian,1801-1850
418,418.jpg,"AMERLING, Friedrich von",Oil on canvas,painting,portrait,Austrian,1801-1850
419,419.jpg,"AMERLING, Friedrich von",Oil on canvas,painting,portrait,Austrian,1801-1850
420,420.jpg,"AMERLING, Friedrich von",Oil on panel,painting,portrait,Austrian,1801-1850
421,421.jpg,"AMERLING, Friedrich von",Oil on canvas,painting,portrait,Austrian,1801-1850
422,422.jpg,"AMERLING, Friedrich von",Oil on canvas,painting,portrait,Austrian,1801-1850
423,423.jpg,"AMERLING, Friedrich von",Oil on canvas,painting,portrait,Austrian,1801-1850
424,424.jpg,"AMERLING, Friedrich von",Oil on canvas,painting,portrait,Austrian,1801-1850
425,425.jpg,"AMERLING, Friedrich von",Oil on canvas,painting,portrait,Austrian,1801-1850
426,426.jpg,"AMERLING, Friedrich von",Oil on canvas,painting,portrait,Austrian,1801-1850
427,427.jpg,-,Oil on canvas,painting,portrait,Italian,1501-1550
428,428.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,portrait,Italian,1701-1750
429,429.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,religious,Italian,1701-1750
430,430.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,mythological,Italian,1701-1750
431,431.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,portrait,Italian,1701-1750
432,432.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,mythological,Italian,1701-1750
433,433.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,mythological,Italian,1701-1750
434,434.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,mythological,Italian,1701-1750
435,435.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,mythological,Italian,1701-1750
436,436.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,mythological,Italian,1701-1750
437,437.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,mythological,Italian,1701-1750
438,438.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,mythological,Italian,1701-1750
439,439.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,mythological,Italian,1701-1750
440,440.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,religious,Italian,1701-1750
441,441.jpg,"AMIGONI, Jacopo",Oil on canvas,painting,mythological,Italian,1701-1750
442,442.jpg,-,Woodcut,graphics,other,Swiss,1551-1600
443,443.jpg,-,Woodcut,graphics,other,Swiss,1551-1600
444,444.jpg,-,Woodcut,graphics,other,Swiss,1551-1600
445,445.jpg,-,Woodcut,graphics,other,Swiss,1551-1600
446,446.jpg,-,Woodcut,graphics,other,Swiss,1551-1600
474,474.jpg,"AMMANATI, Bartolomeo",Pen,graphics,study,Italian,1551-1600
475,475.jpg,-,Oil on oak panel,painting,genre,Netherlandish,1501-1550
476,476.jpg,-,Oil on canvas,painting,genre,Danish,1851-1900
477,477.jpg,-,Oil on canvas,painting,portrait,Danish,1851-1900
478,478.jpg,-,Oil on canvas,painting,portrait,Italian,1851-1900
479,479.jpg,-,Oil on canvas,painting,historical,Scottish,1801-1850
480,480.jpg,-,Oil on canvas,painting,landscape,Scottish,1801-1850
481,481.jpg,-,Oil on canvas,painting,portrait,Scottish,1801-1850
482,482.jpg,-,Oil on oak panel,painting,landscape,Scottish,1801-1850
483,483.jpg,-,Oil on panel,painting,landscape,Scottish,1801-1850
484,484.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
485,485.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
486,486.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
487,487.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
488,488.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
489,489.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
490,490.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
491,491.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
492,492.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
493,493.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
494,494.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
495,495.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
496,496.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
497,497.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
498,498.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
499,499.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
500,500.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
501,501.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
502,502.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
503,503.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
504,504.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
505,505.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
506,506.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
507,507.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
508,508.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
509,509.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
510,510.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
511,511.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
512,512.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
513,513.jpg,ANDREA DA FIRENZE,Fresco,painting,religious,Italian,1351-1400
